config,round,client_id,cid,malicious,f1,accuracy,precision,recall
attack_c1_full,5,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9686,0.9614,0.9965,0.9421
attack_c1_full,5,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9682,0.961,0.996,0.9419
attack_c1_full,5,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9681,0.9608,0.9949,0.9427
attack_c1_full,6,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9663,0.9585,0.991,0.9429
attack_c1_full,6,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9681,0.9608,0.9946,0.943
attack_c1_full,6,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9673,0.9598,0.9928,0.9431
attack_c1_full,6,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9574,0.9465,0.9625,0.9524
attack_c1_full,6,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9677,0.9603,0.9932,0.9435
attack_c1_full,7,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9666,0.9587,0.9874,0.9467
attack_c1_full,7,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9531,0.9408,0.9531,0.9531
attack_c1_full,7,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9673,0.9595,0.9884,0.947
attack_c1_full,7,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9668,0.9589,0.9879,0.9466
attack_c1_full,7,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.966,0.9579,0.9856,0.9471
attack_c1_full,8,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9653,0.957,0.9847,0.9466
attack_c1_full,8,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9653,0.957,0.9843,0.947
attack_c1_full,8,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9539,0.942,0.9569,0.951
attack_c1_full,8,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9657,0.9575,0.9861,0.946
attack_c1_full,8,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9664,0.9584,0.9871,0.9465
attack_c1_full,9,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9651,0.9568,0.9841,0.9468
attack_c1_full,9,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.952,0.9394,0.9514,0.9526
attack_c1_full,9,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9648,0.9564,0.9832,0.9472
attack_c1_full,9,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9637,0.9549,0.9794,0.9486
attack_c1_full,9,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9658,0.9576,0.9839,0.9483
attack_c1_full,10,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9527,0.9403,0.9538,0.9516
attack_c1_full,10,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9649,0.9566,0.9843,0.9463
attack_c1_full,10,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9647,0.9562,0.9831,0.9469
attack_c1_full,10,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9644,0.9559,0.9819,0.9476
attack_c1_full,10,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9656,0.9574,0.9846,0.9474
