config,round,client_id,cid,malicious,bi_accuracy,bi_logloss,err_impact,lfr_impact
attack_err_lfr,4,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1525,11.1799,-0.004085,-0.005152
attack_err_lfr,4,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.151,11.1914,-0.005565,-0.016715
attack_err_lfr,4,4,b7b427156a48430193e6ded5ad0899d9,False,0.1555,11.185,-0.001125,-0.010276
attack_err_lfr,5,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1462,11.0859,0.000175,0.001057
attack_err_lfr,5,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.146,11.1011,-8e-05,-0.014099
attack_err_lfr,5,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.146,11.0866,-8e-05,0.000384
attack_err_lfr,5,4,b7b427156a48430193e6ded5ad0899d9,False,0.1452,11.099,-0.00088,-0.011986
attack_err_lfr,5,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9646,0.0823,0.8185,11.004741
attack_err_lfr,6,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1598,11.3437,-0.00066,0.005906
attack_err_lfr,6,4,b7b427156a48430193e6ded5ad0899d9,False,0.16,11.3653,-0.000405,-0.0157
attack_err_lfr,6,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9646,0.0813,0.80416,11.268315
attack_err_lfr,6,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1583,11.3493,-0.002085,0.000261
attack_err_lfr,6,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.1588,11.36,-0.001635,-0.010427
attack_err_lfr,7,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1433,11.8468,-0.00033,0.00305
attack_err_lfr,7,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1436,11.8471,-2.5e-05,0.002738
attack_err_lfr,7,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.1424,11.8604,-0.001245,-0.010512
attack_err_lfr,7,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9649,0.0801,0.821195,11.769781
